product_id,product_brand,product_title,product_link,product_regular_price,product_discount_price
14686251,LEGO®," Ninjago Lloyd's Golden Ultra Dragon, 989 Pieces",https://www.macys.com/shop/product/lego-ninjago-lloyds-golden-ultra-dragon-989-pieces?ID=14686251&CategoryID=200756,$149.99,none
13726786,LEGO®, Ninja Dojo Temple 1394 Pieces Toy Set,https://www.macys.com/shop/product/lego-ninja-dojo-temple-1394-pieces-toy-set?ID=13726786&CategoryID=200756,$99.99,none
14611890,LEGO®," 4 Privet Drive, 797 Piece",https://www.macys.com/shop/product/lego-4-privet-drive-797-piece?ID=14611890&CategoryID=200756,$69.99,none
14071113,LEGO®," All-Terrain Vehicle Set, 764 Pieces",https://www.macys.com/shop/product/lego-all-terrain-vehicle-set-764-pieces?ID=14071113&CategoryID=200756,$89.99,none
14124986,LEGO®," Star Wars Dark Trooper Attack Building Kit, Fun, Buildable Toy Play set, 166 Pieces",https://www.macys.com/shop/product/lego-star-wars-dark-trooper-attack-building-kit-fun-buildable-toy-play-set-166-pieces?ID=14124986&CategoryID=200756,$34.99,none
15966451,Hot Wheels, Click Stack Booster Race Tracks Self-Building Racing Car Kit,https://www.macys.com/shop/product/hot-wheels-click-stack-booster-race-tracks-self-building-racing-car-kit?ID=15966451&CategoryID=66889,$56.99,none
13865533,Hot Wheels," Monster Trucks, Demo Derby Playset with Truck & 3 Crushable Toy Cars",https://www.macys.com/shop/product/monster-trucks-demo-derby-playset-with-truck-3-crushable-toy-cars?ID=13865533&CategoryID=66889,$21.99,none
10454087,Hot Wheels, 30 Car Case,https://www.macys.com/shop/product/hot-wheels-30-car-case?ID=10454087&CategoryID=66889,$14.99,none
10451539,Hot Wheels, 100 Car Storage Case,https://www.macys.com/shop/product/hot-wheels-100-car-storage-case?ID=10451539&CategoryID=66889,$24.99,none
10454090,Hot Wheels, Molded 48 Car Case,https://www.macys.com/shop/product/hot-wheels-molded-48-car-case?ID=10454090&CategoryID=66889,$17.99,none
12927204,Hot Wheels," Monster Trucks, 1:64 Scale Race Ace Toy Truck and Volcano Playset",https://www.macys.com/shop/product/hot-wheels-monster-trucks-164-scale-race-ace-toy-truck-volcano-playset?ID=12927204&CategoryID=66889,$123.99,none
15966452,Hot Wheels," Extended Triple Loop ""Shot Through The Ring Of Fire"" Race Track Set",https://www.macys.com/shop/product/hot-wheels-extended-triple-loop-shot-through-the-ring-of-fire-race-track-set?ID=15966452&CategoryID=66889,$39.99,none
8976127,Hot Wheels," 20-Car Pack, 20 1:64 Scale Toy Vehicles-Styles May Vary",https://www.macys.com/shop/product/hot-wheels-20-car-pack-20-164-scale-toy-vehicles-styles-may-vary?ID=8976127&CategoryID=66889,$24.99,none
14597027,Hot Wheels, Mariokart Gliders 3 Pack,https://www.macys.com/shop/product/mariokart-gliders-3-pack?ID=14597027&CategoryID=66889,$23.99,none
15358043,Hot Wheels," Ready to Race Car Builder, 29 Pieces",https://www.macys.com/shop/product/hot-wheels-ready-to-race-car-builder-29-pieces?ID=15358043&CategoryID=66889,$19.99,none
9888137,Hot Wheels, Stunt Go Transforming Race Track,https://www.macys.com/shop/product/hot-wheels-stunt-go-transforming-race-track?ID=9888137&CategoryID=66889,$34.99,none
14125006,LEGO®," Jurassic World T rex and Atrociraptor Dinosaur Breakout, 466 Pieces",https://www.macys.com/shop/product/lego-jurassic-world-t-rex-atrociraptor-dinosaur-breakout-466-pieces?ID=14125006&CategoryID=200756,$99.99,none
12939479,LEGO®," Duplo Amusement Park, 95 Pieces",https://www.macys.com/shop/product/lego-duplo-amusement-park-95-pieces?ID=12939479&CategoryID=200756,$109.99,none
14480533,LEGO®," Dots Designer Toolkit Patterns, 1096 Pieces",https://www.macys.com/shop/product/lego-dots-designer-toolkit-patterns-1096-pieces?ID=14480533&CategoryID=200756,$64.99,none
14686220,LEGO®, Great Pyramid Of Giza 1476 Piece Set,https://www.macys.com/shop/product/lego-great-pyramid-of-giza-1476-piece-set?ID=14686220&CategoryID=200756,$129.99,none
15943682,LEGO®, Lunar New Year Display Set,https://www.macys.com/shop/product/lunar-new-year-display-set?ID=15943682&CategoryID=200756,$89.99,none
15514538,LEGO®," Marvel The Hulkbuster The Battle of Wakanda, 385 Pieces",https://www.macys.com/shop/product/lego-marvel-the-hulkbuster-the-battle-of-wakanda-385-pieces?ID=15514538&CategoryID=200756,$49.99,none
13726766,LEGO®," City Hospital, 816 Pieces",https://www.macys.com/shop/product/lego-city-hospital-816-pieces?ID=13726766&CategoryID=200756,$119.99,none
13714439,LEGO®, Medium Creative Brick Box 484 Pieces Toy Set,https://www.macys.com/shop/product/lego-medium-creative-brick-box-484-pieces-toy-set?ID=13714439&CategoryID=200756,$34.99,none
14597024,Hot Wheels, Track Builder Unlimited Long Jump Pack,https://www.macys.com/shop/product/track-builder-unlimited-long-jump-pack?ID=14597024&CategoryID=66889,$14.99,none
15864368,Hot Wheels, Action Infinity Loop Kit,https://www.macys.com/shop/product/hot-wheels-action-infinity-loop-kit?ID=15864368&CategoryID=66889,$35.99,none
15864364,Hot Wheels, Track Builder Lightning Boost Pack,https://www.macys.com/shop/product/hot-wheels-track-builder-lightning-boost-pack?ID=15864364&CategoryID=66889,$19.99,none
15864355,Hot Wheels, Track Builder Ice Crash Pack,https://www.macys.com/shop/product/hot-wheels-track-builder-ice-crash-pack?ID=15864355&CategoryID=66889,$14.99,none
12157433,Hot Wheels, DIY Toy Wood Monster Trucks - 2 Pack (Marvel Avengers Hulk and Ironman),https://www.macys.com/shop/product/hot-wheels-diy-toy-wood-monster-trucks-2-pack-marvel-avengers-hulk-ironman?ID=12157433&CategoryID=66889,$13.99,none
15864370,Hot Wheels, Monster Trucks Arena Smashers Race Ace Smash Race Challenge Playset,https://www.macys.com/shop/product/hot-wheels-monster-trucks-arena-smashers-race-ace-smash-race-challenge-playset?ID=15864370&CategoryID=66889,$16.99,none
12157432,Hot Wheels, DIY Toy Wood Car Racers - 2 Pack (Marvel Avengers Black Panther and Captain America),https://www.macys.com/shop/product/hot-wheels-diy-toy-wood-car-racers-2-pack-marvel-avengers-black-panther-captain-america?ID=12157432&CategoryID=66889,$13.99,none
14597023,Hot Wheels, Track Builder Unlimited Premium Curve Pack,https://www.macys.com/shop/product/track-builder-unlimited-premium-curve-pack?ID=14597023&CategoryID=66889,$14.99,none
15864371,Hot Wheels, Monster Trucks Arena Smashers 5 Alarm Fire Crash Challenge Playset,https://www.macys.com/shop/product/hot-wheels-monster-trucks-arena-smashers-5-alarm-fire-crash-challenge-playset?ID=15864371&CategoryID=66889,$16.99,none
2508220,Hot Wheels, Mattel's 9-Car Variety Gift Pack-- Styles May Vary,https://www.macys.com/shop/product/mattels-hot-wheels-9-car-variety-gift-pack-styles-may-vary?ID=2508220&CategoryID=66889,$11.25,none
14686238,LEGO®," City Freight Train, 1153 Pieces",https://www.macys.com/shop/product/lego-city-freight-train-1153-pieces?ID=14686238&CategoryID=200756,$199.99,none
13726748,LEGO®, Rapunzel's Tower 369 Pieces Toy Set,https://www.macys.com/shop/product/lego-rapunzels-tower-369-pieces-toy-set?ID=13726748&CategoryID=200756,$64.99,none
14480594,LEGO®, Harry Potter The Ministry of Magic 76403 Building Kit,https://www.macys.com/shop/product/lego-harry-potter-the-ministry-of-magic-76403-building-kit?ID=14480594&CategoryID=200756,$99.99,none
15810037,LEGO®," Technic NASCAR Next Gen Chevrolet Camaro ZL1 42153 Building Toy Set, 672 Pieces",https://www.macys.com/shop/product/lego-technic-nascar-next-gen-chevrolet-camaro-zl1-42153-building-toy-set-672-pieces?ID=15810037&CategoryID=200756,$49.99,none
14480523,LEGO®," Friends Andrea’s Theater School, 1154 Pieces",https://www.macys.com/shop/product/lego-friends-andreas-theater-school-1154-pieces?ID=14480523&CategoryID=200756,$99.99,none
10451833,LEGO®, LEGO Brick Drawer with 4 Knobs,https://www.macys.com/shop/product/lego-brick-drawer-with-4-knobs?ID=10451833&CategoryID=200756,$35.99,none
14686254,LEGO®," Star Wars The Justifier, 1022 Pieces",https://www.macys.com/shop/product/lego-star-wars-the-justifier-1022-pieces?ID=14686254&CategoryID=200756,$169.99,none
12939525,LEGO®, Jeep Wrangler 665 Pieces Toy Set,https://www.macys.com/shop/product/lego-jeep-wrangler-665-pieces-toy-set?ID=12939525&CategoryID=200756,$49.99,none
15514542,LEGO®," Avatar Mako Submarine 75577, 553 Pieces",https://www.macys.com/shop/product/lego-avatar-mako-submarine-75577-553-pieces?ID=15514542&CategoryID=200756,$59.99,none
